date,time,open,high,low,close,volume
2026-04-28,08:30:00,76976.64,77013.63,76802.45,76815.83,594.3593
2026-04-28,08:45:00,76815.83,76868.03,76741.12,76858.59,107.64407
2026-04-28,09:00:00,76858.59,76863.54,76790.01,76831.05,92.97792
2026-04-28,09:15:00,76831.05,76831.05,76717.67,76790.7,89.45184
2026-04-28,09:30:00,76790.7,76790.7,76637.63,76657.42,91.16005
2026-04-28,09:45:00,76657.42,76659.41,76495.91,76598.0,88.10258
2026-04-28,10:00:00,76597.99,76692.19,76514.76,76521.04,88.95992
2026-04-28,10:15:00,76521.04,76569.16,76484.7,76523.47,61.16357
2026-04-28,10:30:00,76523.48,76620.0,76523.47,76614.61,156.65367
2026-04-28,10:45:00,76614.61,76630.02,76564.86,76618.35,111.46847
2026-04-28,11:00:00,76618.35,76649.86,76440.86,76460.97,140.44023
2026-04-28,11:15:00,76460.96,76480.84,76283.82,76342.7,323.72098
2026-04-28,11:30:00,76342.7,76346.49,76145.0,76288.89,341.95819
2026-04-28,11:45:00,76288.9,76296.99,76130.1,76229.0,213.59902
2026-04-28,12:00:00,76228.99,76314.97,76186.45,76273.92,208.49269
2026-04-28,12:15:00,76273.92,76365.99,76168.84,76221.48,142.09376
2026-04-28,12:30:00,76221.48,76316.32,76180.0,76315.2,89.0738
2026-04-28,12:45:00,76315.21,76421.94,76295.47,76372.05,212.35291
2026-04-28,13:00:00,76372.04,76372.05,75924.98,76135.79,563.78327
2026-04-28,13:15:00,76135.78,76244.0,76028.0,76192.9,166.63262
2026-04-28,13:30:00,76192.9,76357.3,76061.97,76264.45,268.4881
2026-04-28,13:45:00,76264.44,76411.72,76033.6,76189.84,289.62101
2026-04-28,14:00:00,76189.85,76199.99,76018.0,76076.73,157.45401
2026-04-28,14:15:00,76076.74,76085.71,75769.4,75829.12,388.20638
2026-04-28,14:30:00,75829.12,75904.0,75666.6,75862.78,477.46197
2026-04-28,14:45:00,75862.78,75950.0,75691.06,75949.99,241.15344
2026-04-28,15:00:00,75950.0,76068.12,75836.88,75990.25,168.56961
2026-04-28,15:15:00,75990.24,76065.22,75945.0,76024.99,147.32559
2026-04-28,15:30:00,76024.99,76057.0,75882.21,75933.7,124.8037
2026-04-28,15:45:00,75933.7,76085.42,75916.35,76066.38,131.25929
2026-04-28,16:00:00,76066.37,76095.46,75958.15,76020.45,107.31323
2026-04-28,16:15:00,76020.46,76033.56,75947.74,75954.58,70.40866
2026-04-28,16:30:00,75954.59,76007.63,75881.28,75912.55,82.18937
2026-04-28,16:45:00,75912.55,76218.06,75889.0,76125.04,187.63408
2026-04-28,17:00:00,76125.04,76220.61,76000.0,76033.56,109.56998
2026-04-28,17:15:00,76033.56,76137.87,75959.05,76096.13,66.35033
2026-04-28,17:30:00,76096.13,76262.63,76096.12,76192.44,99.36939
2026-04-28,17:45:00,76192.44,76220.79,76117.99,76187.3,61.83179
2026-04-28,18:00:00,76187.3,76266.66,76137.86,76141.01,79.98071
2026-04-28,18:15:00,76141.01,76280.91,76141.01,76233.34,55.00286
2026-04-28,18:30:00,76233.34,76238.94,76168.69,76168.69,138.07017
2026-04-28,18:45:00,76168.69,76250.0,76152.41,76242.18,64.42981
2026-04-28,19:00:00,76242.17,76242.18,76086.0,76086.61,43.06826
2026-04-28,19:15:00,76086.61,76170.94,76066.35,76170.93,53.08756
2026-04-28,19:30:00,76170.93,76320.95,76136.27,76319.4,49.57957
2026-04-28,19:45:00,76319.4,76380.83,76273.91,76330.97,113.91877
2026-04-28,20:00:00,76330.97,76446.71,76323.71,76397.69,111.45478
2026-04-28,20:15:00,76397.69,76400.78,76338.4,76367.1,53.10292
2026-04-28,20:30:00,76367.09,76436.73,76360.05,76415.64,45.01573
2026-04-28,20:45:00,76415.65,76480.0,76415.64,76463.95,50.14235
2026-04-28,21:00:00,76463.95,76481.3,76350.84,76365.38,114.99728
2026-04-28,21:15:00,76365.62,76375.35,76288.31,76301.3,72.87704
2026-04-28,21:30:00,76301.31,76410.45,76301.3,76315.82,49.84403
2026-04-28,21:45:00,76315.82,76417.94,76267.61,76357.15,43.45522
2026-04-28,22:00:00,76357.15,76446.26,76332.0,76364.27,53.78282
2026-04-28,22:15:00,76364.27,76371.83,76318.71,76329.44,23.6264
2026-04-28,22:30:00,76329.44,76364.3,76292.19,76292.19,29.12269
2026-04-28,22:45:00,76292.2,76297.77,76218.0,76242.17,51.07795
2026-04-28,23:00:00,76242.17,76346.89,76197.02,76346.89,67.48057
2026-04-28,23:15:00,76346.88,76363.21,76266.94,76285.52,25.9302
2026-04-28,23:30:00,76285.53,76305.16,76249.31,76300.72,31.66604
2026-04-28,23:45:00,76300.72,76370.0,76300.72,76342.77,54.86304
2026-04-29,00:00:00,76342.78,76385.28,76303.13,76332.4,226.43021
2026-04-29,00:15:00,76332.4,76346.33,76276.0,76319.24,55.19246
2026-04-29,00:30:00,76319.25,76419.15,76288.98,76400.46,79.36765
2026-04-29,00:45:00,76400.46,76557.97,76391.15,76512.0,275.89485
2026-04-29,01:00:00,76511.99,76545.14,76316.65,76359.67,120.63012
2026-04-29,01:15:00,76359.67,76399.58,76221.49,76236.14,66.21767
2026-04-29,01:30:00,76236.15,76410.47,76187.75,76410.47,60.57501
2026-04-29,01:45:00,76410.46,76668.02,76395.74,76571.0,124.06538
2026-04-29,02:00:00,76571.0,76666.82,76513.07,76548.32,107.41165
2026-04-29,02:15:00,76548.31,76565.76,76460.96,76460.97,62.43749
2026-04-29,02:30:00,76460.97,76468.62,76402.72,76435.21,76.88152
2026-04-29,02:45:00,76435.21,76531.43,76434.29,76531.29,68.56596
2026-04-29,03:00:00,76531.29,76622.78,76519.94,76622.78,65.14094
2026-04-29,03:15:00,76622.77,76899.83,76622.77,76882.0,195.64014
2026-04-29,03:30:00,76881.99,77127.62,76802.44,77079.11,216.31019
2026-04-29,03:45:00,77079.12,77082.24,76933.66,76994.78,91.168
2026-04-29,04:00:00,76994.77,77008.68,76880.0,76926.06,122.57586
2026-04-29,04:15:00,76926.06,77057.11,76926.06,77041.81,69.95435
2026-04-29,04:30:00,77041.81,77455.71,77020.73,77318.1,330.64427
2026-04-29,04:45:00,77318.09,77368.77,77250.48,77269.76,132.06949
2026-04-29,05:00:00,77269.76,77301.82,77200.0,77224.34,90.30213
2026-04-29,05:15:00,77224.35,77272.45,77198.07,77272.45,84.27372
2026-04-29,05:30:00,77272.45,77301.0,77221.02,77248.12,88.14042
2026-04-29,05:45:00,77248.12,77329.31,77248.11,77288.38,150.24022
2026-04-29,06:00:00,77288.39,77337.57,77192.07,77218.53,132.48861
2026-04-29,06:15:00,77218.52,77227.0,77083.38,77083.39,152.1019
2026-04-29,06:30:00,77083.39,77117.16,77011.2,77011.22,105.17644
2026-04-29,06:45:00,77011.22,77260.22,76907.07,77031.06,584.62238
2026-04-29,07:00:00,77031.07,77107.87,77031.06,77092.66,407.71685
2026-04-29,07:15:00,77092.66,77108.29,77050.29,77064.19,136.88747
2026-04-29,07:30:00,77064.19,77182.91,77064.19,77127.55,90.10959
2026-04-29,07:45:00,77127.54,77127.55,77031.06,77053.64,297.2714
2026-04-29,08:00:00,77053.65,77087.15,76984.88,77030.54,100.04405
2026-04-29,08:15:00,77030.55,77148.79,77020.78,77106.01,105.4096
2026-04-29,08:30:00,77106.01,77106.01,76972.32,77064.9,257.01576
2026-04-29,08:45:00,77064.89,77074.62,77025.93,77046.32,76.6278
2026-04-29,09:00:00,77046.31,77072.96,76972.32,77072.95,83.12565
2026-04-29,09:15:00,77072.95,77142.0,77057.41,77127.74,79.55591
2026-04-29,09:30:00,77127.74,77285.0,77127.73,77258.0,121.26093
2026-04-29,09:45:00,77258.0,77800.0,77242.53,77642.0,551.59822
2026-04-29,10:00:00,77642.0,77817.57,77642.0,77720.85,215.1021
2026-04-29,10:15:00,77720.85,77899.86,77710.0,77885.28,223.44435
2026-04-29,10:30:00,77885.28,77904.93,77563.8,77563.81,241.96828
2026-04-29,10:45:00,77563.81,77666.35,77559.19,77619.61,110.30149
2026-04-29,11:00:00,77619.62,77673.2,77506.88,77579.69,131.32526
2026-04-29,11:15:00,77579.7,77607.4,77485.81,77515.0,109.29226
2026-04-29,11:30:00,77515.0,77670.73,77508.07,77571.53,123.57881
2026-04-29,11:45:00,77571.53,77694.61,77546.0,77590.03,167.55507
2026-04-29,12:00:00,77590.04,77596.39,76850.0,77310.12,664.16642
2026-04-29,12:15:00,77310.12,77415.98,76908.47,77145.78,680.3712
2026-04-29,12:30:00,77145.78,77175.64,76992.5,77162.2,154.12744
2026-04-29,12:45:00,77162.19,77208.72,77125.92,77143.68,277.68643
2026-04-29,13:00:00,77143.68,77205.72,77072.39,77178.95,113.39973
2026-04-29,13:15:00,77178.96,77240.0,76859.09,76924.1,189.59801
2026-04-29,13:30:00,76924.11,76924.11,76563.0,76563.0,415.51029
2026-04-29,13:45:00,76563.01,76877.15,76425.62,76783.43,282.18687
2026-04-29,14:00:00,76783.42,76783.43,76543.51,76588.85,158.5249
2026-04-29,14:15:00,76588.5,76767.71,76503.2,76717.99,211.21241
2026-04-29,14:30:00,76717.99,76927.69,76584.42,76602.26,796.00126
2026-04-29,14:45:00,76602.27,76668.45,76489.99,76570.0,187.98214
2026-04-29,15:00:00,76570.0,76634.61,76150.0,76255.0,342.77333
2026-04-29,15:15:00,76254.99,76364.88,76194.4,76230.53,180.83526
2026-04-29,15:30:00,76230.53,76335.12,75971.07,75975.0,299.47884
2026-04-29,15:45:00,75975.01,76041.8,75705.32,75924.25,309.66991
2026-04-29,16:00:00,75924.24,76125.47,75847.71,76031.77,235.95717
2026-04-29,16:15:00,76031.77,76116.47,75696.13,75837.01,477.42594
2026-04-29,16:30:00,75837.0,75911.04,75720.96,75887.34,160.54413
2026-04-29,16:45:00,75887.33,75908.0,75707.69,75803.54,147.17355
2026-04-29,17:00:00,75803.55,76015.27,75803.55,75936.36,145.6829
2026-04-29,17:15:00,75936.36,76112.98,75811.24,75891.4,185.88013
2026-04-29,17:30:00,75891.4,76018.34,75881.59,76018.33,92.68679
2026-04-29,17:45:00,76018.33,76184.01,75940.12,76184.01,125.68452
2026-04-29,18:00:00,76184.0,76274.8,74937.52,75192.52,1111.63357
2026-04-29,18:15:00,75192.51,75385.24,75084.0,75150.37,331.15934
2026-04-29,18:30:00,75150.37,75361.68,74958.66,75242.43,299.73047
2026-04-29,18:45:00,75242.42,75517.33,75225.0,75513.91,184.35971
2026-04-29,19:00:00,75513.92,75570.18,75374.49,75568.41,155.5327
2026-04-29,19:15:00,75567.04,75591.83,75454.76,75531.29,104.8563
2026-04-29,19:30:00,75531.29,75531.3,75302.31,75438.56,128.09275
2026-04-29,19:45:00,75438.55,75565.69,75432.49,75563.86,76.09365
2026-04-29,20:00:00,75563.87,75716.54,75497.43,75528.81,264.87864
2026-04-29,20:15:00,75528.82,75688.09,75524.41,75679.7,116.65316
2026-04-29,20:30:00,75679.7,75857.32,75586.0,75773.61,131.1932
2026-04-29,20:45:00,75773.61,75856.08,75666.79,75676.79,62.58673
2026-04-29,21:00:00,75676.79,75850.0,75607.7,75794.67,100.47597
2026-04-29,21:15:00,75794.67,75898.67,75794.67,75822.88,56.88715
2026-04-29,21:30:00,75822.88,75973.5,75801.67,75942.49,101.48915
2026-04-29,21:45:00,75942.49,76088.9,75932.76,75933.93,104.2125
2026-04-29,22:00:00,75933.94,75969.42,75850.0,75965.73,80.64301
2026-04-29,22:15:00,75965.73,76004.14,75818.14,75839.75,83.10733
2026-04-29,22:30:00,75839.74,75975.38,75839.74,75962.86,52.38656
2026-04-29,22:45:00,75962.85,75970.65,75891.28,75927.38,56.19707
2026-04-29,23:00:00,75927.38,75990.06,75864.95,75987.62,44.28591
2026-04-29,23:15:00,75987.62,75989.29,75692.33,75771.21,110.87803
2026-04-29,23:30:00,75771.2,75864.91,75771.2,75861.06,72.01913
2026-04-29,23:45:00,75861.07,75880.71,75774.6,75780.0,52.30874
2026-04-30,00:00:00,75780.0,75867.49,75715.44,75719.89,139.7804
2026-04-30,00:15:00,75719.9,75817.99,75656.03,75817.99,72.60295
2026-04-30,00:30:00,75818.0,76172.34,75818.0,76091.35,166.97848
2026-04-30,00:45:00,76091.35,76344.61,76091.35,76248.74,183.35278
2026-04-30,01:00:00,76248.76,76360.56,76180.5,76234.02,80.31567
2026-04-30,01:15:00,76234.01,76408.83,76178.73,76349.59,66.76437
2026-04-30,01:30:00,76349.58,76412.41,76239.76,76346.0,59.55904
2026-04-30,01:45:00,76346.0,76473.26,76218.94,76232.8,124.89745
2026-04-30,02:00:00,76232.81,76351.04,76232.8,76316.7,65.75213
2026-04-30,02:15:00,76316.7,76343.54,76107.82,76122.64,72.41361
2026-04-30,02:30:00,76122.64,76122.64,75494.7,75614.11,298.0122
2026-04-30,02:45:00,75614.11,75760.88,75560.29,75704.74,100.88971
