,open,high,low,close,volume,atr,ob_formed,ob_direction,entry_quality,qmp_fast,qmp_slow,qmp_macd,qmp_line,qmp_hist,qqe_rsi,qqe_rsi_ma,qqe_dar,qqe_momentum,signal_alignment
2026-05-05 02:45:00,80809.04,80900.0,80500.89,80554.68,265.03262,199.2335714285717,False,none,0.0,80538.16869417868,80404.22735601346,133.94133816521207,110.9282597456611,23.01307841955098,62.78055925483477,62.78055925483477,17.162683989520477,-19.787204218974225,-1.0
2026-05-05 03:00:00,80554.69,80720.35,80457.93,80678.15,95.69814,201.4835714285728,False,none,0.0,80601.17196471707,80456.19058917664,144.98137554043205,134.16018962151006,10.821185918921998,67.14796638480888,67.14796638480888,17.287840189721067,4.3674071299741115,1.0
2026-05-05 03:15:00,80678.14,80858.68,80636.92,80796.22,97.11786,209.3778571428577,False,none,0.0,80681.63745510924,80518.80257596716,162.83487914208672,155.88873347540596,6.9461456666807635,70.88205499139599,70.88205499139599,17.369818149140425,3.7340886065871075,1.0
2026-05-05 03:30:00,80796.22,81083.98,80752.91,80910.54,385.24641,218.6485714285716,False,none,0.0,80774.43044041701,80590.31346957512,184.11697084188927,177.73440038049546,6.3825704613938115,74.13521771476726,74.13521771476726,17.407406371661168,3.2531627233712754,1.0
2026-05-05 03:45:00,80910.54,80950.0,80822.56,80893.08,99.87131,220.4564285714285,False,none,0.0,80839.13049639673,80650.88874341144,188.2417529852828,193.45585158983016,-5.21409860454736,72.71715347160001,72.71715347160001,17.38169116264742,-1.418064243167251,1.0
2026-05-05 04:00:00,80893.08,80982.59,80781.42,80808.24,194.12025,214.7385714285712,False,none,0.0,80862.63454839651,80692.04779851988,170.58674987663107,196.95321530050785,-26.366465423876775,65.7346078357547,65.7346078357547,17.37513900610606,-6.982545635845312,1.0
2026-05-05 04:15:00,80808.24,80919.72,80793.68,80793.69,87.18531,213.50357142857163,False,none,0.0,80874.04290400827,80725.89687705034,148.14602695792564,190.0582092076526,-41.91218224972695,64.52030336501701,64.52030336501701,17.308399235990507,-1.2143044707376873,1.0
2026-05-05 04:30:00,80793.69,80846.22,80725.0,80769.3,117.83033,209.3771428571428,False,none,0.0,80873.38183544607,80751.80947865984,121.57235678622965,174.40239675642556,-52.83003997019591,62.315007205347364,62.315007205347364,17.20273921065882,-2.2052961596696505,1.0
2026-05-05 04:45:00,80769.31,80951.48,80732.28,80902.44,129.80549,218.1328571428572,False,none,0.0,80908.25996184956,80793.11523735845,115.14472449111054,159.95552756258957,-44.81080307147903,68.93843181833114,68.93843181833114,17.122553298051177,6.623424612983776,-1.0
2026-05-05 05:00:00,80902.44,80984.38,80830.06,80868.69,216.23463,217.0985714285728,False,none,0.0,80923.5083254438,80824.3133145014,99.19501094240695,143.17520227814208,-43.98019133573513,65.59829772684509,65.59829772684509,17.021137342963666,-3.34013409148605,1.0
